name,archetype,maturity,n,m,n_trips
SX-L1-n20-s3,SX,L1,20,6,448
SX-L1-n20-s4,SX,L1,20,6,373
SX-L1-n20-s5,SX,L1,20,6,433
SX-L1-n30-s1,SX,L1,30,8,1191
SX-L1-n30-s2,SX,L1,30,8,1426
NB-L2-n3-s1,NB,L2,3,2,52
NB-L2-n3-s2,NB,L2,3,2,152
NB-L2-n5-s1,NB,L2,5,3,110
NB-L2-n5-s2,NB,L2,5,3,74
NB-L2-n5-s3,NB,L2,5,3,103
NB-L2-n10-s1,NB,L2,10,4,250
NB-L2-n10-s2,NB,L2,10,4,421
NB-L2-n10-s3,NB,L2,10,4,213
NB-L2-n10-s4,NB,L2,10,4,572
NB-L2-n10-s5,NB,L2,10,4,283
NB-L2-n20-s1,NB,L2,20,6,355
NB-L2-n20-s2,NB,L2,20,6,505
NB-L2-n20-s3,NB,L2,20,6,481
NB-L2-n20-s4,NB,L2,20,6,709
NB-L2-n20-s5,NB,L2,20,6,363
NB-L2-n30-s1,NB,L2,30,8,639
NB-L2-n30-s2,NB,L2,30,8,689
NB-L1-n3-s1,NB,L1,3,2,52
NB-L1-n3-s2,NB,L1,3,2,152
NB-L1-n5-s1,NB,L1,5,3,110
NB-L1-n5-s2,NB,L1,5,3,74
NB-L1-n5-s3,NB,L1,5,3,103
NB-L1-n10-s1,NB,L1,10,4,250
NB-L1-n10-s2,NB,L1,10,4,421
NB-L1-n10-s3,NB,L1,10,4,213
NB-L1-n10-s4,NB,L1,10,4,572
NB-L1-n10-s5,NB,L1,10,4,283
NB-L1-n20-s1,NB,L1,20,6,355
NB-L1-n20-s2,NB,L1,20,6,505
NB-L1-n20-s3,NB,L1,20,6,481
NB-L1-n20-s4,NB,L1,20,6,709
NB-L1-n20-s5,NB,L1,20,6,363
NB-L1-n30-s1,NB,L1,30,8,639
NB-L1-n30-s2,NB,L1,30,8,689
DQ-L1-n3-s1,DQ,L1,3,2,70
DQ-L1-n3-s2,DQ,L1,3,2,159
DQ-L1-n5-s1,DQ,L1,5,3,151
DQ-L1-n5-s2,DQ,L1,5,3,260
DQ-L1-n5-s3,DQ,L1,5,3,115
DQ-L1-n10-s1,DQ,L1,10,4,394
DQ-L1-n10-s2,DQ,L1,10,4,338
DQ-L1-n10-s3,DQ,L1,10,4,406
DQ-L1-n10-s4,DQ,L1,10,4,258
DQ-L1-n10-s5,DQ,L1,10,4,172
DQ-L1-n20-s1,DQ,L1,20,6,710
DQ-L1-n20-s2,DQ,L1,20,6,306
DQ-L1-n20-s3,DQ,L1,20,6,897
DQ-L1-n20-s4,DQ,L1,20,6,902
DQ-L1-n20-s5,DQ,L1,20,6,630
DQ-L1-n30-s1,DQ,L1,30,8,821
DQ-L1-n30-s2,DQ,L1,30,8,698
WZ-L1-n3-s1,WZ,L1,3,2,93
WZ-L1-n3-s2,WZ,L1,3,2,124
WZ-L1-n5-s1,WZ,L1,5,3,95
WZ-L1-n5-s2,WZ,L1,5,3,132
WZ-L1-n5-s3,WZ,L1,5,3,175
WZ-L1-n10-s1,WZ,L1,10,4,233
WZ-L1-n10-s2,WZ,L1,10,4,348
WZ-L1-n10-s3,WZ,L1,10,4,455
WZ-L1-n10-s4,WZ,L1,10,4,119
WZ-L1-n10-s5,WZ,L1,10,4,243
WZ-L1-n20-s1,WZ,L1,20,6,739
WZ-L1-n20-s2,WZ,L1,20,6,536
WZ-L1-n20-s3,WZ,L1,20,6,404
WZ-L1-n20-s4,WZ,L1,20,6,415
WZ-L1-n20-s5,WZ,L1,20,6,451
WZ-L1-n30-s1,WZ,L1,30,8,841
WZ-L1-n30-s2,WZ,L1,30,8,858
NBd-TW-n5-s1,NB,TW,5,3,110
NBd-TW-n5-s2,NB,TW,5,3,74
NBd-TW-n5-s3,NB,TW,5,3,103
NBd-TW-n10-s1,NB,TW,10,4,250
NBd-TW-n10-s2,NB,TW,10,4,421
NBd-TW-n10-s3,NB,TW,10,4,213
NBd-SP-n5-s1,NB,SP,5,3,110
NBd-SP-n5-s2,NB,SP,5,3,74
NBd-SP-n5-s3,NB,SP,5,3,103
NBd-SP-n10-s1,NB,SP,10,4,250
NBd-SP-n10-s2,NB,SP,10,4,421
NBd-SP-n10-s3,NB,SP,10,4,213
NBd-FL-n5-s1,NB,FL,5,3,110
NBd-FL-n5-s2,NB,FL,5,3,74
NBd-FL-n5-s3,NB,FL,5,3,103
NBd-FL-n10-s1,NB,FL,10,4,250
NBd-FL-n10-s2,NB,FL,10,4,421
NBd-FL-n10-s3,NB,FL,10,4,213
